상가업소번호,상호명,상권업종중분류명,행정동명,경도,위도,기초지자체 방문자 비율,상권분류
MA010120220805188928,황가정,한식,황성동,129.2210588,35.88224452,3.2,로컬상권
MA010120220800152626,돼지본가,한식,황성동,129.2161692,35.86808944,3.2,로컬상권
MA010120220809128856,가로수다방,비알코올 ,건천읍,129.1047972,35.84855785,7.6,핫플레이스
MA010120220811046157,장시돼지국밥,한식,건천읍,129.0864875,35.86402423,7.6,핫플레이스
MA010120220809131511,대밭가든,한식,천북면,129.2553202,35.92417039,3.4,로컬상권
MA010120220811020855,치킨홈닭짱,기타 간이,성건동,129.2065935,35.85411039,3.3,로컬상권
MA010120220809914164,하지메마시타,일식,황성동,129.2191573,35.86607899,3.2,로컬상권
MA010120220808298741,불리단길무인카페,한식,불국동,129.3243835,35.78566304,6.1,핫플레이스
MA010120220809112441,대왕기사식당,한식,문무대왕면,129.4427562,35.78591028,2.4,로컬상권
MA010120220808728347,카페본동,비알코올 ,양남면,129.4725968,35.70074984,4.6,로컬상권
MA010120220809124289,교촌치킨,기타 간이,동천동,129.2244411,35.85828635,2.1,로컬상권
MA010120220809129690,이승윤의알통떡강정,기타 간이,동천동,129.2187368,35.854175,2.1,로컬상권
MA010120220806432862,동원홈푸드명성공업점,구내식당·뷔페,외동읍,129.3154497,35.67580969,5.0,핫플레이스
MA010120220809126009,회밀리떳다,한식,감포읍,129.4901645,35.78884762,4.5,로컬상권
MA010120220809102328,효림식당,한식,성건동,129.2063724,35.85212315,3.3,로컬상권
MA010120220808668522,선봉식당,한식,외동읍,129.3362098,35.67957126,5.0,핫플레이스
MA010120220810282902,중화요리읍성,중식,황오동,129.2141377,35.84640278,11.3,핫플레이스
MA010120220806659050,이조한정식,한식,월성동,129.2509663,35.84163652,7.1,핫플레이스
MA010120220814280723,해물오뎅,비알코올 ,성건동,129.2052376,35.85391004,3.3,로컬상권
